date,supplier,category,subcategory,amount,currency,description,invoice_number,po_number,payment_status,project_id,project_name,cost_code,payment_terms,approver
2025-01-05,Atlas Construction Materials,Structural Materials,Structural Steel,258750.00,USD,Structural steel supply for Building A frame - Phase 1,INV-ACM-001258,PO-2025-0145,Paid,PRJ-2025-001,Downtown Office Tower,1001-5582,Net 45,Jennifer Wilson
2025-01-10,Superior Concrete Solutions,Structural Materials,Concrete Products,175600.00,USD,Ready-mix concrete for foundation pours - 500 cubic meters,INV-SCS-005923,PO-2025-0147,Paid,PRJ-2025-001,Downtown Office Tower,1002-5584,Net 30,Jennifer Wilson
2025-01-12,TerraFirm Foundations,Site Work,Foundation Systems,328900.00,USD,Deep foundation caisson installation - 45 units,INV-TFF-000852,PO-2025-0132,Paid,PRJ-2025-001,Downtown Office Tower,5002-6680,Net 30,Michael Thompson
2025-01-15,SmartSite Equipment,Equipment & Specialties,Construction Equipment,42500.00,USD,Tower crane rental - Monthly charge,INV-SSE-001932,PO-2025-0152,Paid,PRJ-2025-001,Downtown Office Tower,6001-7710,Net 30,David Chen
2025-01-18,BuildTech Systems,MEP Systems,Building Automation,95800.00,USD,Building automation system components - First installment,INV-BTS-003214,PO-2025-0168,Pending,PRJ-2025-001,Downtown Office Tower,2005-6242,Net 30,Sarah Jones
2025-01-20,MetalTech Fabricators,Structural Materials,Structural Steel,125400.00,USD,Steel connections and specialty fabrication,INV-MTF-002187,PO-2025-0145,Paid,PRJ-2025-001,Downtown Office Tower,1001-5583,Net 45,Jennifer Wilson
2025-01-22,Stone Source Quarries,Building Materials,Aggregates,36750.00,USD,Crushed stone and aggregates for sitework,INV-SSQ-001752,PO-2025-0171,Paid,PRJ-2025-001,Downtown Office Tower,7002-7852,Net 30,David Chen
2025-01-25,ProConcrete Pumping,Site Work,Excavation & Grading,23800.00,USD,Concrete pumping services for foundation pour,INV-PCP-000673,PO-2025-0175,Paid,PRJ-2025-001,Downtown Office Tower,5001-6624,Net 15,David Chen
2025-01-28,Precision Electrical Contractors,MEP Systems,Electrical Equipment,148900.00,USD,Main electrical switchgear and panel installation,INV-PEC-002541,PO-2025-0182,Pending,PRJ-2025-001,Downtown Office Tower,2002-6185,Net 30,Sarah Jones
2025-01-30,FastTrack Modular Systems,Prefabricated Components,Structural Components,87500.00,USD,Prefabricated wall panels for core structure,INV-FTM-001423,PO-2025-0188,Pending,PRJ-2025-001,Downtown Office Tower,9003-9124,Net 30,Jennifer Wilson
2025-02-03,Atlas Construction Materials,Structural Materials,Structural Steel,185600.00,USD,Structural steel supply for Building A frame - Phase 2,INV-ACM-001298,PO-2025-0145,Pending,PRJ-2025-001,Downtown Office Tower,1001-5582,Net 45,Jennifer Wilson
2025-02-05,GreenBuild Materials,Building Envelope,Insulation,58400.00,USD,Sustainable insulation systems for exterior walls,INV-GBM-000876,PO-2025-0195,Pending,PRJ-2025-001,Downtown Office Tower,3003-6320,Net 30,Michael Thompson
2025-01-08,Superior Concrete Solutions,Structural Materials,Concrete Products,95600.00,USD,Specialty concrete mix for main floor structural slab,INV-SCS-005932,PO-2025-0202,Paid,PRJ-2025-002,Community Health Center,1002-5584,Net 30,Robert Davis
2025-01-14,BuildSmart Technologies,MEP Systems,Building Automation,62300.00,USD,IoT sensors and monitoring systems for building controls,INV-BST-000425,PO-2025-0210,Paid,PRJ-2025-002,Community Health Center,2005-6242,Net 45,Robert Davis
2025-01-19,Global Roofing Industries,Building Envelope,Roofing Systems,86500.00,USD,TPO roofing membrane system installation,INV-GRI-000631,PO-2025-0215,Paid,PRJ-2025-002,Community Health Center,3001-6310,Net 30,Thomas Wilson
2025-01-24,EcoGlass Solutions,Building Envelope,Glazing Systems,114800.00,USD,High-performance curtain wall system for south facade,INV-EGS-000189,PO-2025-0220,Pending,PRJ-2025-002,Community Health Center,3004-6325,Net 30,Thomas Wilson
2025-01-27,Precision Electrical Contractors,MEP Systems,Electrical Equipment,76500.00,USD,Electrical distribution and emergency power systems,INV-PEC-002583,PO-2025-0228,Pending,PRJ-2025-002,Community Health Center,2002-6185,Net 30,Sarah Jones
2025-02-01,Stone Source Quarries,Site Work,Paving & Hardscape,42800.00,USD,Decorative concrete paving for entrance plaza,INV-SSQ-001799,PO-2025-0235,Pending,PRJ-2025-002,Community Health Center,5004-6650,Net 30,David Chen
2025-02-04,Superior Concrete Solutions,Structural Materials,Concrete Products,112700.00,USD,Concrete for elevator core and shear walls,INV-SCS-006012,PO-2025-0240,Pending,PRJ-2025-002,Community Health Center,1002-5584,Net 30,Robert Davis
2025-01-07,FastTrack Modular Systems,Prefabricated Components,Modular Construction,1250000.00,USD,Prefabricated apartment modules - 20 units,INV-FTM-001450,PO-2025-0175,Paid,PRJ-2025-003,Riverside Apartments,9001-9100,Net 30,Michael Chen
2025-01-16,ProConcrete Pumping,Site Work,Excavation & Grading,18500.00,USD,Concrete pumping for podium slab,INV-PCP-000695,PO-2025-0182,Paid,PRJ-2025-003,Riverside Apartments,5001-6624,Net 15,David Chen
2025-01-21,BuildTech Systems,MEP Systems,HVAC Equipment,235600.00,USD,Rooftop HVAC units and ductwork for apartment building,INV-BTS-003275,PO-2025-0188,Paid,PRJ-2025-003,Riverside Apartments,2001-6180,Net 30,Sarah Jones
2025-01-26,MetalTech Fabricators,Building Envelope,Exterior Cladding,187500.00,USD,Metal panel rainscreen system for facade,INV-MTF-002246,PO-2025-0195,Pending,PRJ-2025-003,Riverside Apartments,3002-6315,Net 45,Jennifer Wilson
2025-01-29,GreenBuild Materials,Building Envelope,Insulation,92400.00,USD,High-performance spray foam insulation system,INV-GBM-000924,PO-2025-0202,Pending,PRJ-2025-003,Riverside Apartments,3003-6320,Net 30,Michael Thompson
2025-02-02,Precision Electrical Contractors,MEP Systems,Electrical Equipment,156700.00,USD,Electrical distribution and apartment unit wiring,INV-PEC-002625,PO-2025-0210,Pending,PRJ-2025-003,Riverside Apartments,2002-6185,Net 30,Sarah Jones